시도,시군구,업종,당월
강원특별자치도,강릉시,LPG 충전소,14
강원특별자치도,강릉시,pc방,59
강원특별자치도,강릉시,가구점,49
강원특별자치도,강릉시,가전제품수리점,126
강원특별자치도,강릉시,가전제품판매점,71
강원특별자치도,강릉시,간이주점,102
강원특별자치도,강릉시,간판광고물업,66
강원특별자치도,강릉시,감정평가사,5
강원특별자치도,강릉시,건강보조식품가게,62
강원특별자치도,강릉시,건어물가게,175
강원특별자치도,강릉시,건축사,61
강원특별자치도,강릉시,결혼상담소,5
강원특별자치도,강릉시,곡물가게,20
강원특별자치도,강릉시,공인노무사,6
강원특별자치도,강릉시,공인회계사,5
강원특별자치도,강릉시,과일가게,43
강원특별자치도,강릉시,교습소ㆍ공부방,228
강원특별자치도,강릉시,교습학원,326
강원특별자치도,강릉시,구내식당,62
강원특별자치도,강릉시,기술ㆍ직업훈련학원,136
강원특별자치도,강릉시,기술사,7
강원특별자치도,강릉시,기타외국식음식점,183
강원특별자치도,강릉시,기타음식점,115
강원특별자치도,강릉시,기타일반의원,8
강원특별자치도,강릉시,꽃가게,122
강원특별자치도,강릉시,내과ㆍ소아과의원,40
강원특별자치도,강릉시,노래방,115
강원특별자치도,강릉시,담배ㆍ복권소매업,60
강원특별자치도,강릉시,당구장,90
강원특별자치도,강릉시,독서실,22
강원특별자치도,강릉시,동물병원,12
강원특별자치도,강릉시,목욕탕,24
강원특별자치도,강릉시,문구점,50
강원특별자치도,강릉시,미용실,617
강원특별자치도,강릉시,법무사,28
강원특별자치도,강릉시,변호사,31
강원특별자치도,강릉시,부동산중개업,416
강원특별자치도,강릉시,분식점,221
강원특별자치도,강릉시,사진촬영업,92
강원특별자치도,강릉시,산부인과의원,8
강원특별자치도,강릉시,생선가게,224
강원특별자치도,강릉시,서점,52
강원특별자치도,강릉시,성형외과의원,4
강원특별자치도,강릉시,세무사,28
강원특별자치도,강릉시,세탁소,156
강원특별자치도,강릉시,슈퍼마켓,118
강원특별자치도,강릉시,스포츠교육기관,156
강원특별자치도,강릉시,스포츠시설운영업,44
강원특별자치도,강릉시,스포츠용품점,106
강원특별자치도,강릉시,시계ㆍ귀금속점,26
강원특별자치도,강릉시,식료품가게,290
강원특별자치도,강릉시,신경정신과의원,7
강원특별자치도,강릉시,신발가게,35
강원특별자치도,강릉시,실내스크린골프점,46
강원특별자치도,강릉시,실내장식가게,251
강원특별자치도,강릉시,실외골프연습장,17
강원특별자치도,강릉시,안경점,39
강원특별자치도,강릉시,안과의원,8
강원특별자치도,강릉시,애완용품점,43
강원특별자치도,강릉시,약국,91
강원특별자치도,강릉시,여관ㆍ모텔,232
강원특별자치도,강릉시,여행사,64
강원특별자치도,강릉시,예술학원,160
강원특별자치도,강릉시,예식장,7
강원특별자치도,강릉시,옷가게,471
강원특별자치도,강릉시,의료용품가게,35
강원특별자치도,강릉시,이륜자동차판매점,15
강원특별자치도,강릉시,이발소,97
강원특별자치도,강릉시,이비인후과의원,8
강원특별자치도,강릉시,일반외과의원,20
강원특별자치도,강릉시,일식음식점,222
강원특별자치도,강릉시,자동차수리점,290
강원특별자치도,강릉시,자전거판매점,13
강원특별자치도,강릉시,장난감가게,16
강원특별자치도,강릉시,정육점,58
강원특별자치도,강릉시,제과점,146
강원특별자치도,강릉시,종합병원,11
강원특별자치도,강릉시,주유소,73
강원특별자치도,강릉시,주차장운영업,40
강원특별자치도,강릉시,중고차판매점,19
강원특별자치도,강릉시,중식음식점,174
강원특별자치도,강릉시,채소가게,60
강원특별자치도,강릉시,철물점,57
강원특별자치도,강릉시,치과의원,63
강원특별자치도,강릉시,침구ㆍ커튼가게,52
강원특별자치도,강릉시,커피음료점,645
강원특별자치도,강릉시,컴퓨터판매점,25
강원특별자치도,강릉시,통신판매업,1206
강원특별자치도,강릉시,패스트푸드점,296
강원특별자치도,강릉시,펜션ㆍ게스트하우스,749
강원특별자치도,강릉시,편의점,354
강원특별자치도,강릉시,피부ㆍ비뇨기과의원,13
강원특별자치도,강릉시,피부관리업,293
강원특별자치도,강릉시,한방병원ㆍ한의원,61
강원특별자치도,강릉시,한식음식점,2916
강원특별자치도,강릉시,헬스클럽,53
강원특별자치도,강릉시,호프주점,175
강원특별자치도,강릉시,화장품가게,213
강원특별자치도,강릉시,휴대폰가게,86
강원특별자치도,고성군,LPG 충전소,0
강원특별자치도,고성군,pc방,8
강원특별자치도,고성군,가구점,3
강원특별자치도,고성군,가전제품수리점,11
강원특별자치도,고성군,가전제품판매점,8
강원특별자치도,고성군,간이주점,13
강원특별자치도,고성군,간판광고물업,9
강원특별자치도,고성군,건강보조식품가게,7
강원특별자치도,고성군,건어물가게,36
강원특별자치도,고성군,건축사,5
강원특별자치도,고성군,곡물가게,3
강원특별자치도,고성군,과일가게,3
강원특별자치도,고성군,교습소ㆍ공부방,11
강원특별자치도,고성군,교습학원,10
강원특별자치도,고성군,구내식당,14
강원특별자치도,고성군,기술ㆍ직업훈련학원,14
강원특별자치도,고성군,기타외국식음식점,25
강원특별자치도,고성군,기타음식점,14
강원특별자치도,고성군,꽃가게,19
강원특별자치도,고성군,내과ㆍ소아과의원,6
강원특별자치도,고성군,노래방,8
강원특별자치도,고성군,담배ㆍ복권소매업,20
강원특별자치도,고성군,당구장,9
강원특별자치도,고성군,독서실,0
강원특별자치도,고성군,동물병원,4
강원특별자치도,고성군,목욕탕,0
강원특별자치도,고성군,문구점,10
강원특별자치도,고성군,미용실,41
강원특별자치도,고성군,법무사,4
강원특별자치도,고성군,부동산중개업,57
강원특별자치도,고성군,분식점,34
강원특별자치도,고성군,사진촬영업,8
강원특별자치도,고성군,생선가게,43
강원특별자치도,고성군,서점,5
강원특별자치도,고성군,세탁소,13
강원특별자치도,고성군,슈퍼마켓,20
강원특별자치도,고성군,스포츠교육기관,11
강원특별자치도,고성군,스포츠시설운영업,0
강원특별자치도,고성군,스포츠용품점,32
강원특별자치도,고성군,시계ㆍ귀금속점,3
강원특별자치도,고성군,식료품가게,83
강원특별자치도,고성군,신발가게,7
강원특별자치도,고성군,실내장식가게,50
강원특별자치도,고성군,실외골프연습장,3
강원특별자치도,고성군,안경점,4
강원특별자치도,고성군,애완용품점,0
강원특별자치도,고성군,약국,9
강원특별자치도,고성군,여관ㆍ모텔,38
강원특별자치도,고성군,여행사,7
강원특별자치도,고성군,예술학원,6
강원특별자치도,고성군,옷가게,31
강원특별자치도,고성군,의료용품가게,4
강원특별자치도,고성군,이륜자동차판매점,0
강원특별자치도,고성군,이발소,17
강원특별자치도,고성군,일반외과의원,0
강원특별자치도,고성군,일식음식점,44
강원특별자치도,고성군,자동차수리점,26
강원특별자치도,고성군,자전거판매점,3
강원특별자치도,고성군,장난감가게,4
강원특별자치도,고성군,정육점,18
강원특별자치도,고성군,제과점,13
강원특별자치도,고성군,주유소,19
강원특별자치도,고성군,주차장운영업,3
강원특별자치도,고성군,중식음식점,25
강원특별자치도,고성군,채소가게,15
강원특별자치도,고성군,철물점,10
강원특별자치도,고성군,치과의원,5
강원특별자치도,고성군,침구ㆍ커튼가게,7
강원특별자치도,고성군,커피음료점,98
강원특별자치도,고성군,컴퓨터판매점,0
강원특별자치도,고성군,통신판매업,104
강원특별자치도,고성군,패스트푸드점,37
강원특별자치도,고성군,펜션ㆍ게스트하우스,399
강원특별자치도,고성군,편의점,60
강원특별자치도,고성군,피부관리업,9
강원특별자치도,고성군,한방병원ㆍ한의원,6
강원특별자치도,고성군,한식음식점,457
강원특별자치도,고성군,호프주점,13
강원특별자치도,고성군,화장품가게,13
강원특별자치도,고성군,휴대폰가게,7
강원특별자치도,동해시,LPG 충전소,8
강원특별자치도,동해시,pc방,18
강원특별자치도,동해시,가구점,24
강원특별자치도,동해시,가전제품수리점,43
강원특별자치도,동해시,가전제품판매점,18
강원특별자치도,동해시,간이주점,10
강원특별자치도,동해시,간판광고물업,40
강원특별자치도,동해시,감정평가사,0
강원특별자치도,동해시,건강보조식품가게,31
강원특별자치도,동해시,건어물가게,57
강원특별자치도,동해시,건축사,12
강원특별자치도,동해시,결혼상담소,0
강원특별자치도,동해시,곡물가게,13
강원특별자치도,동해시,공인노무사,4
강원특별자치도,동해시,과일가게,21
강원특별자치도,동해시,교습소ㆍ공부방,104
강원특별자치도,동해시,교습학원,97
강원특별자치도,동해시,구내식당,41
강원특별자치도,동해시,기술ㆍ직업훈련학원,56
강원특별자치도,동해시,기술사,0
강원특별자치도,동해시,기타외국식음식점,50
강원특별자치도,동해시,기타음식점,52
강원특별자치도,동해시,기타일반의원,5
강원특별자치도,동해시,꽃가게,54
강원특별자치도,동해시,내과ㆍ소아과의원,24
강원특별자치도,동해시,노래방,34
강원특별자치도,동해시,담배ㆍ복권소매업,37
강원특별자치도,동해시,당구장,40
강원특별자치도,동해시,독서실,8
강원특별자치도,동해시,동물병원,4
강원특별자치도,동해시,목욕탕,12
강원특별자치도,동해시,문구점,30
강원특별자치도,동해시,미용실,231
강원특별자치도,동해시,법무사,7
강원특별자치도,동해시,변호사,3
강원특별자치도,동해시,부동산중개업,76
강원특별자치도,동해시,분식점,112
강원특별자치도,동해시,사진촬영업,23
강원특별자치도,동해시,산부인과의원,0
강원특별자치도,동해시,생선가게,73
강원특별자치도,동해시,서점,18
강원특별자치도,동해시,세무사,9
강원특별자치도,동해시,세탁소,77
강원특별자치도,동해시,슈퍼마켓,59
강원특별자치도,동해시,스포츠교육기관,51
강원특별자치도,동해시,스포츠시설운영업,18
강원특별자치도,동해시,스포츠용품점,66
강원특별자치도,동해시,시계ㆍ귀금속점,14
강원특별자치도,동해시,식료품가게,147
강원특별자치도,동해시,신경정신과의원,0
강원특별자치도,동해시,신발가게,11
강원특별자치도,동해시,실내스크린골프점,11
강원특별자치도,동해시,실내장식가게,99
강원특별자치도,동해시,실외골프연습장,7
강원특별자치도,동해시,안경점,17
강원특별자치도,동해시,안과의원,0
강원특별자치도,동해시,애완용품점,22
강원특별자치도,동해시,약국,40
강원특별자치도,동해시,여관ㆍ모텔,67
강원특별자치도,동해시,여행사,23
강원특별자치도,동해시,예술학원,48
강원특별자치도,동해시,예식장,3
강원특별자치도,동해시,옷가게,223
강원특별자치도,동해시,의료용품가게,8
강원특별자치도,동해시,이륜자동차판매점,6
강원특별자치도,동해시,이발소,68
강원특별자치도,동해시,이비인후과의원,4
강원특별자치도,동해시,일반외과의원,8
강원특별자치도,동해시,일식음식점,47
강원특별자치도,동해시,자동차수리점,116
강원특별자치도,동해시,자전거판매점,5
강원특별자치도,동해시,장난감가게,9
강원특별자치도,동해시,정육점,33
강원특별자치도,동해시,제과점,33
강원특별자치도,동해시,종합병원,6
강원특별자치도,동해시,주유소,34
강원특별자치도,동해시,주차장운영업,5
강원특별자치도,동해시,중고차판매점,8
강원특별자치도,동해시,중식음식점,66
강원특별자치도,동해시,채소가게,29
강원특별자치도,동해시,철물점,26
강원특별자치도,동해시,치과의원,27
강원특별자치도,동해시,침구ㆍ커튼가게,35
강원특별자치도,동해시,커피음료점,189
강원특별자치도,동해시,컴퓨터판매점,11
강원특별자치도,동해시,통신판매업,410
강원특별자치도,동해시,패스트푸드점,124
강원특별자치도,동해시,펜션ㆍ게스트하우스,106
강원특별자치도,동해시,편의점,132
강원특별자치도,동해시,피부ㆍ비뇨기과의원,3
강원특별자치도,동해시,피부관리업,121
강원특별자치도,동해시,한방병원ㆍ한의원,19
강원특별자치도,동해시,한식음식점,1149
강원특별자치도,동해시,헬스클럽,20
강원특별자치도,동해시,호프주점,90
강원특별자치도,동해시,화장품가게,81
강원특별자치도,동해시,휴대폰가게,52
강원특별자치도,삼척시,LPG 충전소,3
강원특별자치도,삼척시,pc방,12
강원특별자치도,삼척시,가구점,6
강원특별자치도,삼척시,가전제품수리점,16
강원특별자치도,삼척시,가전제품판매점,20
강원특별자치도,삼척시,간이주점,4
강원특별자치도,삼척시,간판광고물업,17
강원특별자치도,삼척시,건강보조식품가게,20
강원특별자치도,삼척시,건어물가게,80
강원특별자치도,삼척시,건축사,12
강원특별자치도,삼척시,결혼상담소,0
강원특별자치도,삼척시,곡물가게,18
강원특별자치도,삼척시,공인노무사,5
강원특별자치도,삼척시,과일가게,24
강원특별자치도,삼척시,교습소ㆍ공부방,43
강원특별자치도,삼척시,교습학원,38
강원특별자치도,삼척시,구내식당,24
강원특별자치도,삼척시,기술ㆍ직업훈련학원,23
강원특별자치도,삼척시,기술사,0
강원특별자치도,삼척시,기타외국식음식점,20
강원특별자치도,삼척시,기타음식점,69
강원특별자치도,삼척시,기타일반의원,0
강원특별자치도,삼척시,꽃가게,24
