시도,시군구,당월
강원특별자치도,강릉시,15111
강원특별자치도,고성군,2195
강원특별자치도,동해시,5582
강원특별자치도,삼척시,3983
강원특별자치도,속초시,6817
강원특별자치도,양구군,1302
강원특별자치도,양양군,2592
강원특별자치도,영월군,2431
강원특별자치도,원주시,22195
강원특별자치도,인제군,2464
강원특별자치도,정선군,2510
강원특별자치도,철원군,2580
강원특별자치도,춘천시,17046
강원특별자치도,태백시,2520
강원특별자치도,평창군,3209
강원특별자치도,홍천군,4403
강원특별자치도,화천군,1451
강원특별자치도,횡성군,2735
경기도,가평군,5762
경기도,고양시 덕양구,25410
경기도,고양시 일산동구,21182
경기도,고양시 일산서구,15559
경기도,과천시,3465
경기도,광명시,14196
경기도,광주시,21303
경기도,구리시,11432
경기도,군포시,12520
경기도,김포시,30649
경기도,남양주시,41770
경기도,동두천시,4946
경기도,부천시,45262
경기도,성남시 분당구,27468
경기도,성남시 수정구,13207
경기도,성남시 중원구,11601
경기도,수원시 권선구,18023
경기도,수원시 영통구,19343
경기도,수원시 장안구,12583
경기도,수원시 팔달구,15046
경기도,시흥시,30438
경기도,안산시 단원구,22019
경기도,안산시 상록구,16335
경기도,안성시,10739
경기도,안양시 동안구,18065
경기도,안양시 만안구,12176
경기도,양주시,14585
경기도,양평군,7893
경기도,여주시,6408
경기도,연천군,2451
경기도,오산시,11407
경기도,용인시 기흥구,23761
경기도,용인시 수지구,16754
경기도,용인시 처인구,15782
경기도,의왕시,6578
경기도,의정부시,25867
경기도,이천시,11905
경기도,파주시,28796
경기도,평택시,34053
경기도,포천시,10035
경기도,하남시,19678
경기도,화성시,51022
경상남도,거제시,13366
경상남도,거창군,3452
경상남도,고성군,2609
경상남도,김해시,29986
경상남도,남해군,2937
경상남도,밀양시,5861
경상남도,사천시,6784
경상남도,산청군,1983
경상남도,양산시,19390
경상남도,의령군,1005
경상남도,진주시,20703
경상남도,창녕군,3112
경상남도,창원시 마산합포구,10809
경상남도,창원시 마산회원구,9239
경상남도,창원시 성산구,14212
경상남도,창원시 의창구,12093
경상남도,창원시 진해구,9676
경상남도,통영시,8100
경상남도,하동군,2771
경상남도,함안군,2997
경상남도,함양군,1980
경상남도,합천군,1853
경상북도,경산시,15042
경상북도,경주시,17009
경상북도,고령군,1546
경상북도,구미시,22776
경상북도,김천시,7004
경상북도,문경시,4279
경상북도,봉화군,1432
경상북도,상주시,4941
경상북도,성주군,2179
경상북도,안동시,9196
경상북도,영덕군,2842
경상북도,영양군,735
경상북도,영주시,6480
경상북도,영천시,5123
경상북도,예천군,2621
경상북도,울릉군,830
경상북도,울진군,3195
경상북도,의성군,2189
경상북도,청도군,2410
경상북도,청송군,1547
경상북도,칠곡군,6487
경상북도,포항시 남구,13766
경상북도,포항시 북구,16354
광주광역시,광산구,21380
광주광역시,남구,10755
광주광역시,동구,9498
광주광역시,북구,23091
광주광역시,서구,19297
대구광역시,군위군,1063
대구광역시,남구,9573
대구광역시,달서구,27978
대구광역시,달성군,12465
대구광역시,동구,18150
대구광역시,북구,22105
대구광역시,서구,9222
대구광역시,수성구,25056
대구광역시,중구,13793
대전광역시,대덕구,9456
대전광역시,동구,11873
대전광역시,서구,28831
대전광역시,유성구,20761
대전광역시,중구,13608
부산광역시,강서구,9570
부산광역시,금정구,12458
부산광역시,기장군,10459
부산광역시,남구,12862
부산광역시,동구,6717
부산광역시,동래구,15210
부산광역시,부산진구,23931
부산광역시,북구,11416
부산광역시,사상구,11018
부산광역시,사하구,13782
부산광역시,서구,5019
부산광역시,수영구,12446
부산광역시,연제구,12378
부산광역시,영도구,4774
부산광역시,중구,6576
부산광역시,해운대구,22320
서울특별시,강남구,56546
서울특별시,강동구,23530
