업종,시도,시군구,당월,전월,전년동월
가구점,서울특별시,종로구,19,19,23
가구점,서울특별시,중구,59,59,66
가구점,서울특별시,용산구,35,36,35
가구점,서울특별시,성동구,31,31,27
가구점,서울특별시,광진구,37,36,39
가구점,서울특별시,동대문구,31,30,29
가구점,서울특별시,중랑구,34,34,35
가구점,서울특별시,성북구,37,38,38
가구점,서울특별시,강북구,27,27,29
가구점,서울특별시,도봉구,17,17,17
가구점,서울특별시,노원구,39,39,45
가구점,서울특별시,은평구,42,43,43
가구점,서울특별시,서대문구,55,56,63
가구점,서울특별시,마포구,37,37,41
가구점,서울특별시,양천구,32,33,36
가구점,서울특별시,강서구,46,46,47
가구점,서울특별시,구로구,23,24,27
가구점,서울특별시,금천구,21,20,25
가구점,서울특별시,영등포구,26,28,30
가구점,서울특별시,동작구,22,23,21
가구점,서울특별시,관악구,33,33,35
가구점,서울특별시,서초구,86,88,106
가구점,서울특별시,강남구,112,111,114
가구점,서울특별시,송파구,72,73,73
가구점,서울특별시,강동구,36,36,34
가구점,부산광역시,중구,8,8,10
가구점,부산광역시,서구,9,9,9
가구점,부산광역시,동구,58,58,60
가구점,부산광역시,영도구,9,9,8
가구점,부산광역시,부산진구,28,28,32
가구점,부산광역시,동래구,33,34,36
가구점,부산광역시,남구,24,24,27
가구점,부산광역시,북구,22,22,27
가구점,부산광역시,해운대구,81,81,88
가구점,부산광역시,사하구,44,44,44
가구점,부산광역시,금정구,30,31,28
가구점,부산광역시,강서구,24,24,22
가구점,부산광역시,연제구,26,26,32
가구점,부산광역시,수영구,27,27,28
가구점,부산광역시,사상구,29,28,28
가구점,부산광역시,기장군,18,20,20
가구점,대구광역시,중구,17,18,22
가구점,대구광역시,동구,48,49,53
가구점,대구광역시,서구,47,46,46
가구점,대구광역시,남구,20,20,19
가구점,대구광역시,북구,104,105,116
가구점,대구광역시,수성구,54,55,56
가구점,대구광역시,달서구,37,38,42
가구점,대구광역시,달성군,29,30,26
가구점,대구광역시,군위군,3,3,3
가구점,인천광역시,중구,17,17,21
가구점,인천광역시,동구,17,17,15
가구점,인천광역시,미추홀구,45,45,51
가구점,인천광역시,연수구,26,26,27
가구점,인천광역시,남동구,68,68,68
가구점,인천광역시,부평구,46,45,48
가구점,인천광역시,계양구,32,33,35
가구점,인천광역시,서구,87,87,85
가구점,인천광역시,강화군,5,6,6
가구점,인천광역시,옹진군,0,0,0
가구점,광주광역시,동구,22,22,24
가구점,광주광역시,서구,68,68,71
가구점,광주광역시,남구,8,9,13
가구점,광주광역시,북구,54,54,54
가구점,광주광역시,광산구,51,51,48
가구점,대전광역시,동구,22,22,25
가구점,대전광역시,중구,46,46,51
가구점,대전광역시,서구,52,51,52
가구점,대전광역시,유성구,52,52,51
가구점,대전광역시,대덕구,29,31,31
가구점,울산광역시,중구,61,61,60
가구점,울산광역시,남구,39,41,39
가구점,울산광역시,동구,14,14,14
가구점,울산광역시,북구,13,14,20
가구점,울산광역시,울주군,27,27,27
가구점,세종특별자치시,세종시,34,35,41
가구점,경기도,수원시 장안구,19,21,24
가구점,경기도,수원시 권선구,55,55,54
가구점,경기도,수원시 팔달구,21,21,25
가구점,경기도,수원시 영통구,28,28,29
가구점,경기도,성남시 수정구,26,26,27
가구점,경기도,성남시 중원구,30,29,29
가구점,경기도,성남시 분당구,60,63,67
가구점,경기도,의정부시,48,47,48
가구점,경기도,안양시 만안구,19,19,16
가구점,경기도,안양시 동안구,62,62,55
가구점,경기도,부천시,78,81,84
가구점,경기도,광명시,47,47,44
가구점,경기도,평택시,90,89,90
가구점,경기도,동두천시,14,14,15
가구점,경기도,안산시 상록구,55,54,54
