업종,시도,당월
LPG 충전소,강원특별자치도,87
LPG 충전소,경기도,360
LPG 충전소,경상남도,145
LPG 충전소,경상북도,153
LPG 충전소,광주광역시,33
LPG 충전소,대구광역시,50
LPG 충전소,대전광역시,36
LPG 충전소,부산광역시,51
LPG 충전소,서울특별시,65
LPG 충전소,세종특별자치시,4
LPG 충전소,울산광역시,29
LPG 충전소,인천광역시,60
LPG 충전소,전라남도,113
LPG 충전소,전라북도,102
LPG 충전소,제주특별자치도,35
LPG 충전소,충청남도,125
LPG 충전소,충청북도,72
pc방,강원특별자치도,342
pc방,경기도,1938
pc방,경상남도,465
pc방,경상북도,455
pc방,광주광역시,315
pc방,대구광역시,376
pc방,대전광역시,249
pc방,부산광역시,417
pc방,서울특별시,1166
pc방,세종특별자치시,36
pc방,울산광역시,200
pc방,인천광역시,431
pc방,전라남도,326
pc방,전라북도,301
pc방,제주특별자치도,152
pc방,충청남도,444
pc방,충청북도,290
가구점,강원특별자치도,287
가구점,경기도,2267
가구점,경상남도,536
가구점,경상북도,436
가구점,광주광역시,203
가구점,대구광역시,359
가구점,대전광역시,201
가구점,부산광역시,470
가구점,서울특별시,1009
가구점,세종특별자치시,34
가구점,울산광역시,154
가구점,인천광역시,343
가구점,전라남도,284
가구점,전라북도,395
가구점,제주특별자치도,192
가구점,충청남도,311
가구점,충청북도,269
가전제품수리점,강원특별자치도,694
가전제품수리점,경기도,6387
가전제품수리점,경상남도,1188
가전제품수리점,경상북도,715
가전제품수리점,광주광역시,572
가전제품수리점,대구광역시,949
가전제품수리점,대전광역시,611
가전제품수리점,부산광역시,1179
가전제품수리점,서울특별시,3286
가전제품수리점,세종특별자치시,96
가전제품수리점,울산광역시,339
가전제품수리점,인천광역시,1518
가전제품수리점,전라남도,630
가전제품수리점,전라북도,639
가전제품수리점,제주특별자치도,237
가전제품수리점,충청남도,832
가전제품수리점,충청북도,586
가전제품판매점,강원특별자치도,478
가전제품판매점,경기도,2335
가전제품판매점,경상남도,751
가전제품판매점,경상북도,767
가전제품판매점,광주광역시,371
가전제품판매점,대구광역시,493
가전제품판매점,대전광역시,324
가전제품판매점,부산광역시,621
가전제품판매점,서울특별시,1551
가전제품판매점,세종특별자치시,48
가전제품판매점,울산광역시,212
가전제품판매점,인천광역시,441
가전제품판매점,전라남도,600
가전제품판매점,전라북도,537
가전제품판매점,제주특별자치도,261
가전제품판매점,충청남도,555
가전제품판매점,충청북도,425
간이주점,강원특별자치도,318
간이주점,경기도,2157
간이주점,경상남도,697
간이주점,경상북도,239
